Feature,mz,rt,B neg_R-A8_1_1620.mzXML,B neg_R-A9_1_1621.mzXML,B neg_R-D6_1_1809.mzXML,B neg_R-D8_1_1811.mzXML,N neg_R-D2_1_1805.mzXML,N neg_R-D7_1_1810.mzXML
1,96.95926767,31.61646461,1029061.864,77655.1534,5286927.034,31412.568,1884024.331,2761308.815
2,96.95831439,824.9943848,143290.7833,0,0,0,0,0
3,97.92972063,624.159729,121479.8285,131213.968,69656.2344,57807.1128,52110.996,49229
4,97.958141,35.72382355,0,46404.47,42009.3344,0,0,43579.75456
5,98.93752135,624.236,1110552.24,594568.296,353585.785,692121.92,270468.204,1029414.105
